"occID","scientific_name","longitude","latitude","country","state_province","locality","year","record_type","catalog_number","institution_code","elevation","uncertainty","cells","bio01","bio02","bio04","bio07","bio12"
82,"Salamandra salamandra (Linnaeus, 1758)",-8.77614,40.48791,"Portugal","Coimbra",NA,2024,"HUMAN_OBSERVATION","196656991","iNaturalist",NA,8,62983,15.972764431657,8.97425840978439,448.631596719682,21.632966901121,808.39925821884
91,"Salamandra salamandra (Linnaeus, 1758)",-6.51462,42.82747,"Spain","Castilla y León",NA,2024,"HUMAN_OBSERVATION","196779784","iNaturalist",NA,26,59387,10.7731038746872,9.05525369896644,428.300849061259,21.0179357709284,1200.56720541253
93,"Salamandra salamandra gallaica López-Seoane, 1885",-8.60104,41.54584,"Portugal","Braga",NA,2024,"HUMAN_OBSERVATION","196788210","iNaturalist",NA,30,60823,14.5421930133973,9.6588670719405,432.428368042733,22.0607304367208,1150.90450073807
94,"Salamandra salamandra terrestris Lacépède, 1788",3.73179,50.34046,"Belgium","Wallonie",NA,2024,"HUMAN_OBSERVATION","196788698","iNaturalist",NA,8,48608,11.0555873210178,7.60963125375892,507.781687728492,20.5615326949923,1095.67472095575
102,"Salamandra salamandra terrestris Lacépède, 1788",3.84043,44.06974,"France","Languedoc-Roussillon",NA,2024,"HUMAN_OBSERVATION","196931637","iNaturalist",NA,22,57248,10.4420288727795,9.77317940237923,539.248274268794,24.2307544107452,907.848937513567
103,"Salamandra salamandra terrestris Lacépède, 1788",6.044,47.2343,"France","Franche-Comté",NA,2024,"HUMAN_OBSERVATION","196937178","iNaturalist",NA,4,52933,9.79312097927507,8.53692583790061,535.246274611313,22.4443266620372,1398.45283392336
104,"Salamandra salamandra morenica Joger & Steinfartz, 1994",-3.96317,38.12608,"Spain","Andalucía",NA,2024,"HUMAN_OBSERVATION","196943585","iNaturalist",NA,381,65873,15.6571694086383,10.3633488424931,706.040170775076,29.1007599918214,443.847776992448
105,"Salamandra salamandra (Linnaeus, 1758)",-6.56363,43.53395,"Spain","Principado de Asturias",NA,2024,"HUMAN_OBSERVATION","196947570","iNaturalist",NA,31,57947,13.9574154976619,4.217832178871,312.629504249266,12.8257454163563,1065.89024698599
108,"Salamandra salamandra (Linnaeus, 1758)",-7.82108,39.05118,"Portugal","Portalegre",NA,2024,"HUMAN_OBSERVATION","197052005","iNaturalist",NA,15,64425,16.3381734515353,9.9105269059667,578.181435405479,25.6972203240078,666.13586259358
109,"Salamandra salamandra (Linnaeus, 1758)",-5.82691,43.37949,"Spain","Principado de Asturias",NA,2024,"HUMAN_OBSERVATION","197070909","iNaturalist",NA,8,58669,11.9059868108898,6.42310445948735,373.273158995772,16.6354295417934,1003.33718902258
114,"Salamandra salamandra (Linnaeus, 1758)",-7.73282,41.29876,"Portugal","Vila Real",NA,2024,"HUMAN_OBSERVATION","197386445","iNaturalist",NA,2179,61545,13.0810187668464,10.3699789872691,508.739330350096,25.093003788337,1139.54818045484
117,"Salamandra salamandra (Linnaeus, 1758)",5.70584,43.91909,"France","Provence-Alpes-Côte d'Azur",NA,2024,"HUMAN_OBSERVATION","197402168","iNaturalist",NA,244,57972,12.2596820315213,8.39873231433522,566.940007047497,23.6484524770983,787.437070273825
119,"Salamandra salamandra gallaica López-Seoane, 1885",-8.74715,38.86354,"Portugal","Santarém",NA,2024,"HUMAN_OBSERVATION","197475340","iNaturalist",NA,28181,65143,17.5727374605849,7.40234218278872,443.93372853973,19.7990634086776,524.106015138187
121,"Salamandra salamandra (Linnaeus, 1758)",7.90179,47.5384,"Switzerland","Basel-Landschaft",NA,2024,"HUMAN_OBSERVATION","197477721","iNaturalist",NA,26839,52216,9.34644904140208,8.08103741056667,555.86880788086,22.4451794917829,1331.06918225389
127,"Salamandra salamandra (Linnaeus, 1758)",7.42187,51.38853,"Germany","Nordrhein-Westfalen",NA,2024,"HUMAN_OBSERVATION","197527255","iNaturalist",NA,117,47175,10.9220544843143,7.20431153189586,556.49789611366,21.4048086752727,1050.57917035439
128,"Salamandra salamandra terrestris Lacépède, 1788",0.85391,48.60444,"France","Centre",NA,2024,"HUMAN_OBSERVATION","197531994","iNaturalist",NA,61,50762,11.8252818713156,7.90000703484569,464.466899765395,19.852340196329,1021.36339513328
134,"Salamandra salamandra (Linnaeus, 1758)",-6.08883,40.02303,"Spain","Extremadura",NA,2024,"HUMAN_OBSERVATION","197618939","iNaturalist",NA,25,62988,13.3087884661706,10.5602775532666,620.51384904773,27.6965604844186,772.014237368498
