"scientific_name","longitude","latitude","group"
"Salamandra salamandra (Linnaeus, 1758)",1.57558,45.55139,2
"Salamandra salamandra terrestris Lacépède, 1788",-0.93856,45.80392,1
"Salamandra salamandra (Linnaeus, 1758)",10.81839,46.0688,2
"Salamandra salamandra (Linnaeus, 1758)",7.85456,50.05009,3
"Salamandra salamandra (Linnaeus, 1758)",-8.53119,42.87573,1
"Salamandra salamandra (Linnaeus, 1758)",12.20738,49.03245,4
"Salamandra salamandra (Linnaeus, 1758)",23.48121,41.79507,2
"Salamandra salamandra (Linnaeus, 1758)",2.09932,41.58284,2
"Salamandra salamandra terrestris Lacépède, 1788",1.08428,42.95038,2
"Salamandra salamandra (Linnaeus, 1758)",15.89191,47.15482,4
"Salamandra salamandra (Linnaeus, 1758)",20.62134,44.67187,2
"Salamandra salamandra (Linnaeus, 1758)",5.41237,45.90399,2
"Salamandra salamandra (Linnaeus, 1758)",-5.03664,40.25903,1
"Salamandra salamandra (Linnaeus, 1758)",7.9589,44.19396,2
"Salamandra salamandra terrestris Lacépède, 1788",2.84597,42.50674,2
"Salamandra salamandra (Linnaeus, 1758)",17.69807,45.60421,2
"Salamandra salamandra (Linnaeus, 1758)",14.12523,46.65609,4
"Salamandra salamandra (Linnaeus, 1758)",7.36717,43.90142,2
"Salamandra salamandra (Linnaeus, 1758)",-1.06578,48.20632,3
"Salamandra salamandra (Linnaeus, 1758)",2.4915,42.13973,2
"Salamandra salamandra (Linnaeus, 1758)",5.7,50.9,3
"Salamandra salamandra (Linnaeus, 1758)",4.74054,50.1075,3
"Salamandra salamandra (Linnaeus, 1758)",-7.71467,43.60157,1
"Salamandra salamandra (Linnaeus, 1758)",-5.57723,36.0333,1
"Salamandra salamandra (Linnaeus, 1758)",-7.64705,42.85518,1
"Salamandra salamandra fastuosa Schreiber, 1912",-3.58703,43.34973,1
"Salamandra salamandra (Linnaeus, 1758)",2.64186,46.65365,3
"Salamandra salamandra (Linnaeus, 1758)",10.30822,50.95298,4
"Salamandra salamandra (Linnaeus, 1758)",-8.57,37.33,1
"Salamandra salamandra (Linnaeus, 1758)",11.46754,49.06348,4
"Salamandra salamandra (Linnaeus, 1758)",7.17848,49.14433,3
"Salamandra salamandra (Linnaeus, 1758)",9.60488,50.51619,4
"Salamandra salamandra (Linnaeus, 1758)",9.85156,51.31313,4
"Salamandra salamandra (Linnaeus, 1758)",9.50679,48.41454,4
"Salamandra salamandra (Linnaeus, 1758)",9.41926,49.1008,4
"Salamandra salamandra (Linnaeus, 1758)",9.52313,49.98865,4
"Salamandra salamandra (Linnaeus, 1758)",6.87564,50.8699,3
"Salamandra salamandra (Linnaeus, 1758)",6.61634,49.9023,3
"Salamandra salamandra (Linnaeus, 1758)",1.19846,43.61461,2
"Salamandra salamandra (Linnaeus, 1758)",16.41776,49.3057,4
"Salamandra salamandra (Linnaeus, 1758)",13.69418,45.53345,2
"Salamandra salamandra terrestris Lacépède, 1788",1.79356,44.51052,2
"Salamandra salamandra (Linnaeus, 1758)",19.76354,42.42946,2
"Salamandra salamandra (Linnaeus, 1758)",-2.17335,42.99121,1
"Salamandra salamandra (Linnaeus, 1758)",-6.51191,41.49214,1
"Salamandra salamandra terrestris Lacépède, 1788",5.59191,46.40207,3
"Salamandra salamandra terrestris Lacépède, 1788",7.04202,47.80769,3
"Salamandra salamandra terrestris Lacépède, 1788",8.81506,48.48336,4
"Salamandra salamandra (Linnaeus, 1758)",-6.51153,38.44322,1
