system:index,bio01,bio02,bio04,bio05,bio06,bio12,bio15,coordinat0,coordinat1,dem,gbifID,taxonKey,X,Y
544,5.72968769073486,0.859101533889771,102.565979003906,2.45468759536743,-1.2355078458786,592.7265625,29.0703125,1000,0.01,195.31233215332,4165216920,3189866,37.7300013212711,52.170001903767
1092,4.55937480926514,0.794570326805115,105.304534912109,2.38589835166931,-1.39453125,607.66796875,31.77734375,1000,0.0001,108.70881652832,3333889738,3189866,40.8992984768057,56.2654008388897
1091,4.544921875,0.800000011920929,104.90113067627,2.38316416740418,-1.38832032680511,604.80078125,32.05859375,1100,0.0001,118.477058410645,3333892499,3189866,40.5529021296708,56.1917989169015
0000000000000000000f,10.9437503814697,1.19402348995209,101.352577209473,3.08902335166931,-0.986132800579071,942.94921875,25.9921875,10,,140.24169921875,899977247,3189866,-89.9973186464286,40.3651605980176
14,18.6429691314697,1.23156249523163,78.2340621948242,3.55628895759583,0.0818359404802322,876.14453125,31.0078125,10,,178.447341918945,891751007,3189866,-97.1390416482338,32.5935003903921
17,8.16874980926514,1.1572265625,96.9126586914063,2.83945322036743,-1.05937504768372,829.01953125,25.01953125,10,,225.354354858398,891149671,3189866,-84.863948004489,43.0304188068749
29,6.88671875,0.643398463726044,72.5605087280273,2.20179677009583,-0.5,527.6484375,29.4453125,10,,45.5242118835449,849562913,3189866,17.8819583901455,59.2289818264245
0000000000000000002a,7.92414331436157,0.621665954589844,62.5988235473633,2.02778267860413,-0.34259045124054,657.033325195313,22.2966060638428,10,,22.5528717041016,849337075,3189866,12.769701591694,56.0683487042368
0000000000000000003e,8.25742149353027,0.862734377384186,71.9271087646484,2.34378910064697,-0.541328132152557,574.5234375,41.8046875,10,,252.335357666016,4904075420,3189866,15.4952379285918,50.2481293497319
49,5.40240907669067,0.811629235744476,112.824012756348,2.45721960067749,-1.66208267211914,707.078247070313,70.7559661865234,10,,76.4117431640625,4903901049,3189866,131.910790607729,43.1700912291719
0000000000000000004b,9.36054706573486,1.06257808208466,90.5994567871094,2.77335929870605,-0.825546860694885,967.71875,15.83984375,10,,300.055969238281,4903781710,3189866,-81.5590718814244,41.2656314647505
55,11.5492191314697,1.61414062976837,70.2848815917969,3.05746102333069,-0.455664068460465,542.78125,45.7421875,10,,1531.42639160156,4902041225,3189866,-112.160830063375,34.7027711252994
0000000000000000005f,12.484375,1.05652344226837,87.1050033569336,3.0299608707428,-0.454921871423721,1113.94140625,12.17578125,10,,75.9045486450195,4901875886,3189866,-75.2562217243998,39.9806389368758
0000000000000000007b,2.81328129768372,1.11902344226837,130.814376831055,2.71554684638977,-1.98281252384186,307.6328125,30.04296875,10,,504.895568847656,4901410162,3189866,73.1572381356228,50.1174286387543
88,18.2593746185303,1.26519536972046,78.7278137207031,3.54453134536743,0.00640624994412065,840.45703125,31.30078125,10,,239.330291748047,4901082292,3189866,-97.3831283807984,32.6925994522038
0000000000000000009c,10.0304689407349,0.773085951805115,55.219181060791,2.22351551055908,-0.0299609377980232,784.84765625,11.7421875,10,,11.9689950942993,4894176771,3189866,4.8375092870434,51.1793680137335
000000000000000000b8,12.1042966842651,1.18437504768372,85.08984375,3.00046873092651,-0.549023449420929,1050.24609375,11.22265625,10,,115.162200927734,4891944300,3189866,-77.0706299430469,39.0124789161516
000000000000000000b9,13.8883409500122,1.28774750232697,33.2584114074707,2.5372679233551,0.349853694438934,725.088073730469,91.0301666259766,10,,57.8570175170898,4891934999,3189866,-121.830328270358,36.9377795917117
000000000000000000bc,2.361328125,1.26605463027954,124.128982543945,2.60488271713257,-2.21800780296326,384.22265625,56.23046875,10,,575.34912109375,4891889651,3189866,-104.621988439952,50.4762391232219
000000000000000000c8,9.220703125,1.5782812833786,70.4094924926758,2.82144522666931,-0.696406245231628,641.2421875,41.4375,10,,1981.82116699219,4891703345,3189866,-111.430121632848,34.5523388921603
0,9.93437480926514,1.16363286972046,88.0423049926758,2.86558604240418,-0.758906245231628,976.1875,14.23828125,10,,294.058044433594,4875544154,3189866,-78.0981985671061,40.5560413368125
000000000000000000f3,5.24257802963257,0.824335932731628,96.80859375,2.3671875,-1.15546870231628,572.234375,32.88671875,10,,200.03108215332,4875314403,3189866,34.0506409735361,53.069059235466
101,13.484375,1.2771874666214,36.3703498840332,2.59136724472046,0.32523438334465,868.18359375,89.703125,10,,421.448547363281,4875143721,3189866,-122.062107884015,37.0365709755508
0000000000000000010d,8.14044570922852,0.601296186447144,61.3907928466797,2.02999973297119,-0.231602922081947,581.711547851563,20.3052635192871,10,,6.38356161117554,4874703230,3189866,13.0191392455228,55.4231613728137
0000000000000000010e,10.13671875,0.763515651226044,55.1515617370606,2.22640633583069,-0.0211718752980232,780.9140625,12,10,,11.8285694122314,4873342816,3189866,4.50252823860539,51.0703385338757
111,5.36601543426514,1.2273827791214,101.191604614258,2.6038281917572,-1.58000004291534,974.1015625,18.91796875,10,,330.105529785156,4872632413,3189866,-72.0353907379905,44.3085220236219
114,4.59765625,1.3623046875,82.8089447021484,2.47570323944092,-1.36304688453674,428.3359375,52.5546875,10,,1274.86328125,4872588708,3189866,-113.315050534655,49.1939398923836
0000000000000000013c,10.9925785064697,0.993984401226044,76.9562530517578,2.73972654342651,-0.415507823228836,548.4921875,26.81640625,10,,85.9730758666992,4872077273,3189866,20.5371078169146,46.1831905339053
0000000000000000014e,7.98203134536743,1.11535155773163,96.9831619262695,2.82296872138977,-1.04089844226837,773.28125,25.9140625,10,,198.227325439453,4868047968,3189866,-84.2898788757673,43.6189710958181
152,2.76679682731628,1.19257807731628,124.283905029297,2.61531257629395,-2.20054697990418,375.75390625,55.609375,10,,503.716644287109,4868001216,3189866,-105.178359396592,51.0000987740818
156,3.79843759536743,1.23832035064697,122.65894317627,2.65218758583069,-2.16261720657349,630.640625,58.73828125,10,,438.077545166016,4867915404,3189866,-95.8277002922343,46.8098815141587
174,16.5225830078125,0.956827759742737,28.5617351531982,2.56156277656555,0.793974757194519,862.487915039063,61.2440414428711,10,,173.329437255859,4863903424,3189866,18.4217281135641,-34.0545382278568
000000000000000001d0,12.1945314407349,1.33761715888977,70.0796890258789,2.79800772666931,-0.443203121423721,1673.578125,7.921875,10,,829.023010253906,4853183181,3189866,-82.6670603929826,35.3151885230807
000000000000000001d2,2.52890634536743,1.11367189884186,130.463912963867,2.68054676055908,-2.00699210166931,310.1484375,30.11328125,10,,608.458374023438,4853139604,3189866,73.4645682984284,49.8575611475616
000000000000000001d8,2.82578134536743,1.12999999523163,131.259490966797,2.7337110042572,-1.9969140291214,301.78125,28.859375,10,,511.486846923828,4853104896,3189866,72.6602178140036,49.8129790552292
000000000000000001f7,7.88789081573486,0.830156266689301,91.8442153930664,2.53332042694092,-0.832109391689301,576.9765625,29.17578125,10,,108.427841186523,4852839736,3189866,31.3011592639813,50.3488782789334
221,6.07187509536743,1.4568749666214,70.6409378051758,2.70906257629395,-0.856210947036743,603.765625,36.2109375,10,,1080.47607421875,4852342211,3189866,-117.765719428009,45.6259678889636
0000000000000000024b,13.9929685592651,1.18121099472046,45.2616004943848,2.61558604240418,0.147382810711861,1279.64453125,35.89453125,10,,447.698516845703,4851869129,3189866,150.449891179222,-33.7209216643411
0000000000000000024f,20.5123176574707,0.918942272663117,61.8011817932129,3.26736760139465,0.644214272499085,1282.25793457031,21.719482421875,10,,2.14383459091187,4851799370,3189866,-94.3934215201914,29.5565582723259
276,11.9246091842651,1.12199223041534,46.4528503417969,2.47183585166931,0.0450390614569187,901.96875,19.484375,10,,934.443176269531,4846826397,3189866,150.07269136201,-33.4139393114177
0000000000000000027d,14.3253908157349,1.3663672208786,79.6677703857422,3.17679691314697,-0.364062488079071,1381.66015625,16,10,,273.826141357422,4607617036,3189866,-86.9583610146862,35.5404400127955
285,15.6945314407349,0.9276562333107,45.6284370422363,2.88390636444092,0.613085925579071,868.08203125,56.17578125,10,,190.166259765625,4607369521,3189866,-8.40973973196943,39.6009108093665
000000000000000002c9,16.2746086120605,1.42617189884186,63.8181266784668,3.41875004768372,0.188710942864418,321.7734375,83.703125,10,,1214.35620117188,4597496962,3189866,-119.186067968361,34.9836008505443
000000000000000002ed,13.8050785064697,0.808945298194885,54.9938278198242,2.67863273620605,0.285312503576279,714.87890625,23.37109375,10,,307.455627441406,4588238996,3189866,2.81949851429594,42.5175597583138
000000000000000002ee,13.3660154342651,1.01468753814697,60.2451553344727,2.87171864509583,0.10542968660593,747.32421875,28.8671875,10,,104.594314575195,4588174169,3189866,4.23471017023438,44.0259800035724
000000000000000002f0,15.1724395751953,0.905649423599243,56.0919036865234,2.88044714927673,0.348008275032043,601.746337890625,30.2545490264893,10,,58.706787109375,4588123370,3189866,2.99449147603737,42.8794381043062
000000000000000002f1,14.6823787689209,0.975994348526001,56.7539901733398,2.88870716094971,0.260947912931442,653.503662109375,29.8589668273926,10,,7.14150142669678,4588063293,3189866,3.2644722084193,43.2310783542799
000000000000000002f2,14.6108827590942,0.976516485214233,56.6424598693848,2.87999486923218,0.250871956348419,662.715759277344,30.6739616394043,10,,7.05558729171753,4587969725,3189866,3.50529933811381,43.3051395636766
000000000000000002f3,13.9499998092651,1.00910151004791,60.6564826965332,2.92699217796326,0.158124998211861,696.6484375,32.27734375,10,,17.0061531066895,4587829350,3189866,4.64864852102576,43.7797395251991
000000000000000002f4,13.5945310592651,1.0115624666214,61.4477348327637,2.9033203125,0.119492188096046,708.875,29.87109375,10,,43.3602867126465,4587815349,3189866,4.83967195105432,44.0039297488632
000000000000000002f7,10.0144529342651,0.964492201805115,58.3494911193848,2.48281240463257,-0.152382805943489,782.55078125,17.484375,10,,882.436218261719,4587490303,3189866,3.9593116300725,44.3359009040901
305,12.77734375,1.01078128814697,58.3064842224121,2.76308584213257,0.0620703138411045,739.39453125,23.8046875,10,,249.208862304688,4586846026,3189866,3.68030121805734,43.8192605378357
0000000000000000036c,13.4007816314697,1.02113282680511,59.7967185974121,2.86402344703674,0.104023434221745,742.41796875,27.84765625,10,,120.843154907227,4550741798,3189866,4.05302855691278,43.8587993868767
0000000000000000036e,13.091796875,1.02226567268372,60.2708969116211,2.8453905582428,0.0773828104138374,739.6953125,25.55078125,10,,200.820983886719,4550343964,3189866,3.98438961439708,44.0596997257386
0000000000000000037a,14.194094657898,0.98814982175827,58.8900032043457,2.89870095252991,0.194842353463173,681.417663574219,34.4606132507324,10,,1.02424108982086,4543197050,3189866,4.34945175854165,43.5465017854975
0000000000000000038f,16.03125,1.32445311546326,85.0874633789063,3.4423828125,-0.325625002384186,913.8125,38.48828125,10,,352.031677246094,4535580327,3189866,-97.2718113821001,35.1902980207758
393,8.412109375,0.813007831573486,61.5173454284668,2.19015622138977,-0.265742182731628,699.859375,18.04296875,10,,193.673492431641,4528249598,3189866,10.3376900407405,52.0258882168207
000000000000000003b0,5.56406259536743,0.889999985694885,111.160705566406,2.58914065361023,-1.38664066791534,529.46875,24.03125,10,,159.231674194336,4516416782,3189866,42.4550387024435,52.4284915327342
000000000000000003b3,4.54453134536743,0.8182812333107,109.872268676758,2.45339846611023,-1.41917967796326,558.546875,28,10,,153.994567871094,4516213871,3189866,43.2046314259319,54.628322150936
000000000000000003d1,6.88906240463257,0.839453101158142,83.6577758789063,2.32761716842651,-0.825390636920929,612.58984375,38.97265625,10,,322.310607910156,4500861443,3189866,25.7266586730265,50.117401884148
